Journal Data Filtered By:  Selected Categories: PHILOSOPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default,,,,,,,,,
,,,,,,,,,
Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
PHILOSOPHY OF THE SOCIAL SCIENCES,PHILOS SOC SCI,0048-3931,1552-7441,PHILOSOPHY - AHCI,827,N/A,N/A,0.77,15.58%
Notre Dame Journal of Formal Logic,NOTRE DAME J FORM L,0029-4527,1939-0726,PHILOSOPHY - AHCI,805,N/A,N/A,0.72,0%
VOPROSY FILOSOFII,VOP FILOS,0042-8744,0042-8744,PHILOSOPHY - AHCI,758,N/A,N/A,0.37,0%
SOCIAL PHILOSOPHY & POLICY,SOC PHILOS POLICY,0265-0525,1471-6437,PHILOSOPHY - AHCI,747,N/A,N/A,0.35,8.96%
Philosophical Papers,PHILOS PAP,0556-8641,1996-8523,PHILOSOPHY - AHCI,739,N/A,N/A,1.08,11.63%
PHILOSOPHIA,PHILOSOPHIA,0048-3893,1574-9274,PHILOSOPHY - AHCI,722,N/A,N/A,0.67,23.46%
Journal of Social Philosophy,J SOC PHILOS,0047-2786,1467-9833,PHILOSOPHY - AHCI,720,N/A,N/A,0.75,19.69%
PHILOSOPHY EAST & WEST,PHILOS EAST WEST,0031-8221,1529-1898,PHILOSOPHY - AHCI,712,N/A,N/A,0.56,0%
Review of Symbolic Logic,REV SYMB LOGIC,1755-0203,1755-0211,PHILOSOPHY - AHCI,707,N/A,N/A,1.14,5.17%
Ratio,RATIO,0034-0006,1467-9329,PHILOSOPHY - AHCI,706,N/A,N/A,0.96,17.71%
SOUTHERN JOURNAL OF PHILOSOPHY,SOUTHERN J PHILOS,0038-4283,2041-6962,PHILOSOPHY - AHCI,648,N/A,N/A,1.09,5.56%
BRITISH JOURNAL OF AESTHETICS,BRIT J AESTHET,0007-0904,1468-2842,PHILOSOPHY - AHCI,636,N/A,N/A,2.23,16.47%
Logique et Analyse,LOG ANAL,0024-5836,2295-5836,PHILOSOPHY - AHCI,635,N/A,N/A,0.6,0%
JOURNAL OF THE HISTORY OF PHILOSOPHY,J HIST PHILOS,0022-5053,1538-4586,PHILOSOPHY - AHCI,632,N/A,N/A,1.13,0%
Philosophical Issues,PHILOS ISSUES,1533-6077,1758-2237,PHILOSOPHY - AHCI,621,N/A,N/A,1.78,17.65%
Argumentation,ARGUMENTATION,0920-427X,1572-8374,PHILOSOPHY - AHCI,607,N/A,N/A,1.09,23.08%
KENNEDY INSTITUTE OF ETHICS JOURNAL,KENNEDY INST ETHIC J,1054-6863,1086-3249,PHILOSOPHY - AHCI,582,N/A,N/A,1.16,4%
Journal of Ethics,J ETHICS,1382-4554,1572-8609,PHILOSOPHY - ESCI,580,N/A,N/A,0.65,30.11%
PHRONESIS-A JOURNAL FOR ANCIENT PHILOSOPHY,PHRONESIS,0031-8868,1568-5284,PHILOSOPHY - AHCI,572,N/A,N/A,1.04,7.14%
Historical Materialism-Research in Critical Marxist Theory,HIST MATER,1465-4466,1569-206X,PHILOSOPHY - AHCI,569,N/A,N/A,0.76,7.55%
Informal Logic,INFORMAL LOG,0824-2577,0824-2577,PHILOSOPHY - AHCI,536,N/A,N/A,1.93,26.23%
REVIEW OF METAPHYSICS,REV METAPHYS,0034-6632,2154-1302,PHILOSOPHY - AHCI,531,N/A,N/A,0.25,0%
Philosophy Psychiatry & Psychology,PHILOS PSYCHIATR PSY,1071-6076,1086-3303,PHILOSOPHY - ESCI,503,N/A,N/A,1.16,0%
Utilitas,UTILITAS,0953-8208,1741-6183,PHILOSOPHY - AHCI,500,N/A,N/A,1.1,18.67%
HISTORY OF EUROPEAN IDEAS,HIST EUR IDEA,0191-6599,1873-541X,PHILOSOPHY - AHCI,460,N/A,N/A,0.57,17.15%
British Journal for the History of Philosophy,BRIT J HIST PHILOS,0960-8788,1469-3526,PHILOSOPHY - AHCI,459,N/A,N/A,0.82,10.16%
PHILOSOPHY AND RHETORIC,PHILOS RHETORIC,0031-8213,1527-2079,PHILOSOPHY - AHCI,450,N/A,N/A,1.2,0%
TRANSACTIONS OF THE CHARLES S PEIRCE SOCIETY,T C S PEIRCE SOC,0009-1774,1558-9587,PHILOSOPHY - AHCI,438,N/A,N/A,0.55,0%
JOURNAL OF VALUE INQUIRY,J VALUE INQUIRY,0022-5363,1573-0492,PHILOSOPHY - AHCI,424,N/A,N/A,0.58,19.88%
INTERNATIONAL JOURNAL OF PHILOSOPHICAL STUDIES,INT J PHILOS STUD,0967-2559,1466-4542,PHILOSOPHY - AHCI,402,N/A,N/A,0.97,11.21%
Philosophy Ethics and Humanities in Medicine,PHILOS ETHICS HUM ME,1747-5341,1747-5341,PHILOSOPHY - AHCI,390,N/A,N/A,1.48,100%
Philosophia Mathematica,PHILOS MATH,0031-8019,1744-6406,PHILOSOPHY - AHCI,388,N/A,N/A,1.2,4.55%
KANT-STUDIEN,KANT-STUD,0022-8877,1613-1134,PHILOSOPHY - AHCI,386,N/A,N/A,0.66,3.03%
Faith and Philosophy,FAITH PHILOS,0739-7046,2153-3393,PHILOSOPHY - ESCI,372,N/A,N/A,0.8,41.07%
Rhetoric Society Quarterly,RHETOR SOC Q,0277-3945,1930-322X,PHILOSOPHY - AHCI,372,N/A,N/A,2.48,2.70%
Analytic Philosophy,ANAL PHILOS,2153-9596,2153-960X,PHILOSOPHY - AHCI,369,N/A,N/A,1.43,9.30%
CONTINENTAL PHILOSOPHY REVIEW,CONT PHILOS REV,1387-2842,1573-1103,PHILOSOPHY - AHCI,369,N/A,N/A,0.77,26.04%
Contemporary Buddhism,CONTEMP BUDDHISM,1463-9947,1476-7953,PHILOSOPHY - AHCI,366,N/A,N/A,0.88,3.70%
Journal of Critical Realism,J CRIT REALISM,1476-7430,1572-5138,PHILOSOPHY - ESCI,363,N/A,N/A,1.47,14.14%
JOURNAL OF INDIAN PHILOSOPHY,J INDIAN PHILOS,0022-1791,1573-0395,PHILOSOPHY - AHCI,345,N/A,N/A,0.76,20.17%
Ergo-An Open Access Journal of Philosophy,ERGO-ANN ARBOR,2330-4014,2330-4014,PHILOSOPHY - AHCI,345,N/A,N/A,1.48,74.77%
JOURNAL OF CHINESE PHILOSOPHY,J CHINESE PHILOS,0301-8121,1540-6253,PHILOSOPHY - AHCI,341,N/A,N/A,0.54,0%
Res Publica-A Journal of Moral Legal and Political Philosophy,RES PUBLICA-NETH,1356-4765,1572-8692,PHILOSOPHY - AHCI,341,N/A,N/A,1.28,34.17%
PHILOSOPHY TODAY,PHILOS TODAY,0031-8256,2329-8596,PHILOSOPHY - AHCI,336,N/A,N/A,0.39,0%
Journal of Moral Philosophy,J MORAL PHILOS,1740-4681,1745-5243,PHILOSOPHY - AHCI,335,N/A,N/A,0.51,15.07%
Journal of the American Philosophical Association,J AM PHILOS ASSOC,2053-4477,2053-4485,PHILOSOPHY - AHCI,331,N/A,N/A,1.81,16.04%
Thought-A Journal of Philosophy,THOUGHT-J PHILOS,2161-2234,2161-2234,PHILOSOPHY - AHCI,306,N/A,N/A,0.89,21.28%
DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW,DIALOGUE-CAN PHILOS,0012-2173,1759-0949,PHILOSOPHY - AHCI,306,N/A,N/A,0.44,7.34%
INTERNATIONAL JOURNAL FOR PHILOSOPHY OF RELIGION,INT J PHILOS RELIG,0020-7047,1572-8684,PHILOSOPHY - AHCI,294,N/A,N/A,0.96,21.65%
Journal of Speculative Philosophy,J SPECUL PHILOS,0891-625X,1527-9383,PHILOSOPHY - AHCI,281,N/A,N/A,0.59,0%
Journal of Logic Language and Information,J LOGIC LANG INFORM,0925-8531,1572-9583,PHILOSOPHY - AHCI,277,N/A,N/A,0.65,40.58%
REVUE DE METAPHYSIQUE ET DE MORALE,REV METAPHYS MORALE,0035-1571,2102-5177,PHILOSOPHY - AHCI,270,N/A,N/A,0.04,0%
SOUTH AFRICAN JOURNAL OF PHILOSOPHY,S AFR J PHILOS,0258-0136,2073-4867,PHILOSOPHY - AHCI,263,N/A,N/A,0.59,3.30%
Constructivist Foundations,CONSTR FOUND,1782-348X,N/A,PHILOSOPHY - AHCI,262,N/A,N/A,1.66,0%
HISTORY AND PHILOSOPHY OF LOGIC,HIST PHILOS LOGIC,0144-5340,1464-5149,PHILOSOPHY - AHCI,256,N/A,N/A,0.54,8.97%
Sophia,SOPHIA,0038-1527,1873-930X,PHILOSOPHY - AHCI,251,N/A,N/A,0.48,13.66%
Ethics and the Environment,ETHICS ENVIRON,1085-6633,1535-5306,PHILOSOPHY - ESCI,251,N/A,N/A,0.94,0%
Axiomathes,AXIOMATHES,1122-1151,1572-8390,PHILOSOPHY - AHCI,248,N/A,N/A,0.59,29.95%
REVUE INTERNATIONALE DE PHILOSOPHIE,REV INT PHILOS,0048-8143,2033-0138,PHILOSOPHY - AHCI,241,N/A,N/A,0.11,0%
ARCHIV FUR GESCHICHTE DER PHILOSOPHIE,ARCH GESCH PHILOS,0003-9101,1613-0650,PHILOSOPHY - AHCI,241,N/A,N/A,0.52,7.77%
Grazer Philosophische Studien-International Journal for Analytic Philosophy,GRAZER PHILOS STUD,0165-9227,1875-6735,PHILOSOPHY - ESCI,235,N/A,N/A,1.3,10.99%
Res Philosophica,RES PHILOS,2168-9105,2168-9113,PHILOSOPHY - AHCI,228,N/A,N/A,1.17,0%
Journal of Philosophical Research,J PHILOS RES,1053-8364,2153-7984,PHILOSOPHY - AHCI,222,N/A,N/A,0.6,0%
ASIAN PHILOSOPHY,ASIAN PHILOS,0955-2367,1469-2961,PHILOSOPHY - AHCI,221,N/A,N/A,0.58,3.61%
Dao-A Journal of Comparative Philosophy,DAO,1540-3009,1569-7274,PHILOSOPHY - AHCI,220,N/A,N/A,0.75,3.49%
Kantian Review,KANTIAN REV,1369-4154,2044-2394,PHILOSOPHY - AHCI,218,N/A,N/A,1.08,18.60%
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,ACTA ANAL,0353-5150,1874-6349,PHILOSOPHY - AHCI,214,N/A,N/A,0.95,19.71%
REVUE PHILOSOPHIQUE DE LA FRANCE ET DE L ETRANGER,REV PHILOS FR ETRANG,0035-3833,2104-385X,PHILOSOPHY - AHCI,213,N/A,N/A,0.1,0%
Cinta de Moebio,CINTA MOEBIO,0717-554X,0717-554X,PHILOSOPHY - ESCI,211,N/A,N/A,0.53,97.10%
PHILOSOPHICAL FORUM,PHILOS FORUM,0031-806X,1467-9191,PHILOSOPHY - AHCI,206,N/A,N/A,0.29,6.15%
Theoria-A Swedish Journal of Philosophy,THEORIA-SWED J PHILO,0040-5825,1755-2567,PHILOSOPHY - AHCI,200,N/A,N/A,0.73,30.52%
Philosophies,PHILOSOPHIES,N/A,2409-9287,PHILOSOPHY - ESCI,194,N/A,N/A,0.74,92.46%
THOMIST,THOMIST,0040-6325,N/A,PHILOSOPHY - AHCI,186,N/A,N/A,0.57,0%
HEYTHROP JOURNAL,HEYTHROP J,0018-1196,1468-2265,PHILOSOPHY - AHCI,178,N/A,N/A,0.4,1.83%
